time,t,data/C307_6.csv
2011 Jan,2011-01-31,0.0030094988688134094
2011 Feb,2011-02-28,0.006248514994679866
2011 Mar,2011-03-31,0.009904159047943766
2011 Apr,2011-04-30,0.008000769620148604
2011 May,2011-05-31,0.006977226474933165
2011 Jun,2011-06-30,0.009011554632700123
2011 Jul,2011-07-31,0.00891470645964406
2011 Aug,2011-08-31,0.005991544508837775
2011 Sep,2011-09-30,0.005987154058325901
2011 Oct,2011-10-31,0.006909613537050292
2011 Nov,2011-11-30,0.0089441483042531009
2011 Dec,2011-12-16,0.007967040629745611
