time,t,data/C254_2.csv
2010 Jan,2010-01-31,0.3895113233695597
2010 Feb,2010-02-28,0.33631871247464196
2010 Mar,2010-03-31,0.15836074701690683
2010 Apr,2010-04-30,0.008016327432994297
2010 May,2010-05-31,0.1756611525415402
2010 Jun,2010-06-30,0
2010 Jul,2010-07-31,0.0191175898612701
2010 Aug,2010-08-31,0.07323230358871913
2010 Sep,2010-09-30,0.23165047092853064
2010 Oct,2010-10-31,0.1835705205495155
2010 Nov,2010-11-30,0.09966816989864952
2010 Dec,2010-12-31,0
2011 Jan,2011-01-31,0.37967443393387557
2011 Feb,2011-02-28,0.024879888148076956
2011 Mar,2011-03-31,0.02071635179313125
2011 Apr,2011-04-30,0.2885112271572539
2011 May,2011-05-31,0.4622865161524085
2011 Jun,2011-06-30,0.029760615594991213
2011 Jul,2011-07-31,0.3783312487333753
2011 Aug,2011-08-21,0.09303555965879434
