time,t,data/C244_10.csv
2014 Jan,2014-01-31,0.2123626650742606
2014 Feb,2014-02-28,0.10862037660938562
2014 Mar,2014-03-31,0.04115508608272167
2014 Apr,2014-04-30,0.04736466230637937
2014 May,2014-05-31,0.021558002445096314
2014 Jun,2014-06-30,0.0064201934289045415
2014 Jul,2014-07-31,0.05426419144377681
2014 Aug,2014-08-31,0.15441630386978844
2014 Sep,2014-09-30,0.18305298112111285
2014 Oct,2014-10-31,0.06436413374596006
2014 Nov,2014-11-30,0.008615938315788552
2014 Dec,2014-12-16,0.041535165407132646
