time,t,data/C248_4.csv
2013 Apr,2013-04-30,0.012349110829400378
2013 May,2013-05-31,0
2013 Jun,2013-06-30,0
2013 Jul,2013-07-31,0
2013 Aug,2013-08-31,0
2013 Sep,2013-09-30,0
2013 Oct,2013-10-31,0
2013 Nov,2013-11-30,0
2013 Dec,2013-12-31,0.10240455353097211
2014 Jan,2014-01-31,0.46400195500435293
2014 Feb,2014-02-28,0.3139594438419908
2014 Mar,2014-03-31,0.11459889318243144
2014 Apr,2014-04-30,0
2014 May,2014-05-31,0
2014 Jun,2014-06-30,0
2014 Jul,2014-07-31,0
2014 Aug,2014-08-31,0
2014 Sep,2014-09-30,0
2014 Oct,2014-10-31,0
2014 Nov,2014-11-30,0.4995127762589159
2014 Dec,2014-12-31,0.47070497253320703
2015 Jan,2015-01-31,0.12134263996863848
2015 Feb,2015-02-28,0.13054439743609325
2015 Mar,2015-03-17,0.2003624903904408
