time,t,data/C141_3.csv
2015 W02,2015-01-11,0.03391585361159383
2015 W03,2015-01-18,0.02540192478613949
2015 W04,2015-01-25,0.022767838653218513
2015 W05,2015-02-01,0.021581267376986527
2015 W06,2015-02-08,0.02203081393802622
2015 W07,2015-02-15,0.01894045637461559
2015 W08,2015-02-22,0.03321175319380437
2015 W09,2015-03-01,0.03366999627181932
2015 W10,2015-03-08,0.023041384171423075
2015 W11,2015-03-15,0.020710693149444237
2015 W12,2015-03-22,0.020819786803295222
2015 W13,2015-03-29,0.021503962333250963
2015 W14,2015-04-05,0.022042639453068953
2015 W15,2015-04-12,0.02540514992660569
2015 W16,2015-04-19,0.02598739703348061
2015 W17,2015-04-26,0.026799335822516455
2015 W18,2015-05-03,0.028291078159571378
2015 W19,2015-05-10,0.028033901613100643
2015 W20,2015-05-17,0.018975254096140697
2015 W21,2015-05-24,0.020006854750906355
2015 W22,2015-05-31,0.020193169355109092
2015 W23,2015-06-07,0.025855342826771332
2015 W24,2015-06-14,0.02605129676775808
2015 W25,2015-06-21,0.02494505610741536
2015 W26,2015-06-28,0.024611337101235285
2015 W27,2015-07-05,0.024634228980951623
2015 W28,2015-07-12,0.027416850957888577
2015 W29,2015-07-19,0.027024983280918183
2015 W30,2015-07-26,0.02326499391041294
2015 W31,2015-08-02,0.022655643387316654
2015 W32,2015-08-09,0.02272240117290157
2015 W33,2015-08-16,0.022502995478801253
2015 W34,2015-08-23,0.022059001141287723
2015 W35,2015-08-30,0.018572768510923633
2015 W36,2015-09-06,0.02386561170705913
2015 W37,2015-09-13,0.02324088401887903
2015 W38,2015-09-20,0.022129062729301433
2015 W39,2015-09-27,0.022894128977454145
2015 W40,2015-10-04,0.022413399503410966
2015 W41,2015-10-11,0.022387140710080838
2015 W42,2015-10-18,0.020583722253561906
2015 W43,2015-10-25,0.02239976476322866
2015 W44,2015-11-01,0.022015133986816565
2015 W45,2015-11-08,0.019912932367573605
2015 W46,2015-11-15,0.020758194486587063
2015 W47,2015-11-22,0.019857292139368106
2015 W48,2015-11-29,0.02161503302442839
2015 W49,2015-12-06,0.024936123604552333
2015 W50,2015-12-13,0.023940291126857666
2015 W51,2015-12-20,0.0250277822714061
2015 W52,2015-12-27,0.027673983803268982
2015 W53,2016-01-01,0.028945369692112973
