time,t,data/C357_1.csv
2009 W16,2009-04-19,0.3660655737704918
2009 W17,2009-04-26,0.26852459016393443
2009 W18,2009-05-03,0.09295081967213115
2009 W19,2009-05-10,0.23983606557377057
2009 W20,2009-05-17,0.40852459016393444
2009 W21,2009-05-24,0.22721311475409844
2009 W22,2009-05-31,0.19049180327868864
2009 W23,2009-06-07,0.026393442622950847
2009 W24,2009-06-14,0.051639344262295106
2009 W25,2009-06-21,0.06770491803278689
2009 W26,2009-06-28,0.039016393442622976
2009 W27,2009-07-05,0.035573770491803436
2009 W28,2009-07-12,0
2009 W29,2009-07-19,0.03442622950819685
2009 W30,2009-07-26,0
2009 W31,2009-08-02,0.027540983606557434
2009 W32,2009-08-09,0.028688524590164022
2009 W33,2009-08-16,0
2009 W34,2009-08-23,0.05967213114754111
2009 W35,2009-08-30,0.14459016393442625
2009 W36,2009-09-06,0.16754098360655734
2009 W37,2009-09-13,0.13196721311475412
2009 W38,2009-09-20,0.21918032786885244
2009 W39,2009-09-27,0.19852459016393442
2009 W40,2009-10-04,0.3063934426229508
2009 W41,2009-10-11,0.22377049180327868
2009 W42,2009-10-18,0.42114754098360657
2009 W43,2009-10-25,0.4670491803278689
2009 W44,2009-11-01,0.6001639344262295
2009 W45,2009-11-08,0.6139344262295082
2009 W46,2009-11-15,0.4154098360655738
2009 W47,2009-11-22,0.5645901639344262
2009 W48,2009-11-29,0.5473770491803278
2009 W49,2009-12-06,0.39934426229508196
2009 W50,2009-12-13,0.3959016393442623
2009 W51,2009-12-20,0.27885245901639355
2009 W52,2009-12-27,0.15262295081967225
2009 W53,2010-01-03,0.19852459016393442
2010 W01,2010-01-10,0.16524590163934438
2010 W02,2010-01-17,0.1113114754098361
2010 W03,2010-01-24,0.10672131147540986
2010 W04,2010-01-31,0.11016393442622963
2010 W05,2010-02-07,0.10786885245901645
2010 W06,2010-02-14,0.04245901639344274
2010 W07,2010-02-21,0.06770491803278689
2010 W08,2010-02-28,0.12967213114754106
2010 W09,2010-03-07,0.14803278688524601
2010 W10,2010-03-14,0.2559016393442623
2010 W11,2010-03-21,0.17442622950819675
2010 W12,2010-03-28,0.18360655737704923
2010 W13,2010-04-01,0.19622950819672136
