time,t,data/E1_63.csv
2010 W39,2010-10-03,0.0350877192982456
2010 W40,2010-10-10,0
2010 W41,2010-10-17,0.02
2010 W42,2010-10-24,0
2010 W43,2010-10-31,0.0103092783505155
2010 W44,2010-11-07,0.0178571428571429
2010 W45,2010-11-14,0.0212765957446809
2010 W46,2010-11-21,0.0495049504950495
2010 W47,2010-11-28,0.0408163265306122
2010 W48,2010-12-05,0.0297029702970297
2010 W49,2010-12-12,0.0240963855421687
2010 W50,2010-12-19,0.0232558139534884
2010 W51,2010-12-26,0
2010 W52,2011-01-02,0
2011 W01,2011-01-09,0.0258620689655172
2011 W02,2011-01-16,0
2011 W03,2011-01-23,0.00833333333333333
2011 W04,2011-01-30,0
2011 W05,2011-02-06,0
2011 W06,2011-02-13,0
2011 W07,2011-02-20,0.00314465408805031
2011 W08,2011-02-27,0.0143884892086331
2011 W09,2011-03-06,0.0196078431372549
2011 W10,2011-03-13,0.019047619047619
2011 W11,2011-03-20,0
2011 W12,2011-03-27,0.0397350993377483
2011 W13,2011-04-03,0.0103092783505155
2011 W14,2011-04-10,0.0130718954248366
2011 W15,2011-04-17,0.0204081632653061
2011 W16,2011-04-24,0.0296296296296296
2011 W17,2011-05-01,0.0202020202020202
2011 W18,2011-05-08,0.0602409638554217
2011 W19,2011-05-15,0.0177514792899408
2011 W20,2011-05-22,0
2011 W21,2011-05-29,0.0238095238095238
2011 W22,2011-06-05,0.010989010989011
2011 W23,2011-06-12,0.0230769230769231
2011 W24,2011-06-19,0.0265486725663717
2011 W25,2011-06-26,0.0306122448979592
2011 W26,2011-07-03,0.0223880597014925
2011 W27,2011-07-10,0.0087719298245614
2011 W28,2011-07-17,0.00869565217391304
2011 W29,2011-07-24,0.0384615384615385
2011 W30,2011-07-31,0.0241935483870968
2011 W31,2011-08-07,0.008
2011 W32,2011-08-14,0.01
2011 W33,2011-08-21,0
2011 W34,2011-08-28,0
2011 W35,2011-09-04,0
2011 W36,2011-09-11,0
2011 W37,2011-09-18,0
2011 W38,2011-09-25,0
2011 W39,2011-10-02,0
2011 W40,2011-10-09,0.010752688172043
2011 W41,2011-10-16,0.0121951219512195
2011 W42,2011-10-23,0.00833333333333333
2011 W43,2011-10-30,0.0149253731343284
2011 W44,2011-11-06,0.00943396226415094
2011 W45,2011-11-13,0.0338983050847458
2011 W46,2011-11-20,0.0119047619047619
2011 W47,2011-11-27,0.06
2011 W48,2011-12-04,0.0782608695652174
2011 W49,2011-12-11,0.0444444444444444
2011 W50,2011-12-18,0.0782608695652174
2011 W51,2011-12-25,0.194174757281553
2011 W52,2012-01-01,0.163793103448276
2012 W01,2012-01-08,0.255102040816327
2012 W02,2012-01-15,0.177215189873418
2012 W03,2012-01-22,0.338983050847458
2012 W04,2012-01-29,0.221153846153846
2012 W05,2012-02-05,0.244444444444444
2012 W06,2012-02-12,0.177631578947368
2012 W07,2012-02-19,0.268115942028986
2012 W08,2012-02-26,0.295698924731183
2012 W09,2012-03-04,0.289473684210526
2012 W10,2012-03-11,0.212328767123288
2012 W11,2012-03-18,0.143939393939394
