time,t,data/C72_7.csv
2012 May,2012-05-31,0.10945585230916058
2012 Jun,2012-06-30,0.16865798348149708
2012 Jul,2012-07-31,0.21410516964804976
2012 Aug,2012-08-31,0.18000300375149386
2012 Sep,2012-09-30,0.14650052299361116
2012 Oct,2012-10-31,0.10043980460703048
2012 Nov,2012-11-30,0.1129895209548947
2012 Dec,2012-12-31,0.11716920920383542
2013 Jan,2013-01-31,0.10340308001695733
2013 Feb,2013-02-28,0.09083632110742562
2013 Mar,2013-03-31,0.09381663907901996
2013 Apr,2013-04-30,0.11533873156474148
2013 May,2013-05-31,0.10994529337704748
2013 Jun,2013-06-30,0.13804847756666302
2013 Jul,2013-07-31,0.14401923253084167
2013 Aug,2013-08-31,0.13743015212616605
2013 Sep,2013-09-30,0.12725574281070187
2013 Oct,2013-10-31,0.12425358905697115
2013 Nov,2013-11-30,0.1284316795657555
2013 Dec,2013-12-31,0.17866196718028685
2014 Jan,2014-01-31,0.17446576894973082
2014 Feb,2014-02-28,0.11524553005562263
2014 Mar,2014-03-31,0.13138536853474442
2014 Apr,2014-04-30,0.11941722960378173
2014 May,2014-05-31,0.11043526702498652
2014 Jun,2014-06-30,0.10923057094711905
2014 Jul,2014-07-31,0.11639909844848775
2014 Aug,2014-08-31,0.1259589103838198
2014 Sep,2014-09-30,0.11518428334963024
2014 Oct,2014-10-31,0.11696949168429505
2014 Nov,2014-11-30,0.11098062899834474
2014 Dec,2014-12-31,0.10558985371091129
2015 Jan,2015-01-31,0.11694179752158546
2015 Feb,2015-02-28,0.11573816660382219
2015 Mar,2015-03-31,0.0924047693608826
2015 Apr,2015-04-30,0.08701239633329286
2015 May,2015-05-31,0.09896509044274446
2015 Jun,2015-06-30,0.11809483333439846
2015 Jul,2015-07-31,0.1521772937690264
2015 Aug,2015-08-31,0.18147558759557147
2015 Sep,2015-09-30,0.1120878629266765
2015 Oct,2015-10-31,0.09951950627698847
2015 Nov,2015-11-30,0.10907931821232048
2015 Dec,2015-12-31,0.11744348793067083
2016 Jan,2016-01-31,0.14195548482892462
2016 Feb,2016-02-29,0.11443387805621058
2016 Mar,2016-03-31,0.10605160061608859
2016 Apr,2016-04-30,0.11022915854482085
2016 May,2016-05-31,0.11321107425657148
2016 Jun,2016-06-30,0.12157684171507815
2016 Jul,2016-07-31,0.11020359470231969
2016 Aug,2016-08-31,0.09045552637016865
2016 Sep,2016-09-30,0.08865593837409697
2016 Oct,2016-10-31,0.06831031522348122
2016 Nov,2016-11-30,0.070095523558146
2016 Dec,2016-12-31,0.11434546976756071
2017 Jan,2017-01-31,0.0999812531821658
2017 Feb,2017-02-28,0.07844318329488101
2017 Mar,2017-03-31,0.07544315986135874
2017 Apr,2017-04-30,0.10294612633224898
2017 May,2017-05-31,0.0832001883203064
2017 Jun,2017-06-30,0.06824001465660301
2017 Jul,2017-07-31,0.09574244854744113
2017 Aug,2017-08-31,0.10231182349018877
2017 Sep,2017-09-30,0.10290085702781981
2017 Oct,2017-10-31,0.062222925227890996
2017 Nov,2017-11-30,0.05324202780919998
2017 Dec,2017-12-16,0.08134467941876344
