time,t,data/E1_77.csv
2010 W39,2010-10-03,0.323699421965318
2010 W40,2010-10-10,0.214611872146118
2010 W41,2010-10-17,0.221153846153846
2010 W42,2010-10-24,0.159722222222222
2010 W43,2010-10-31,0.0855263157894737
2010 W44,2010-11-07,0.06993006993007
2010 W45,2010-11-14,0.126865671641791
2010 W46,2010-11-21,0.0675675675675676
2010 W47,2010-11-28,0.0451127819548872
2010 W48,2010-12-05,0.0341880341880342
2010 W49,2010-12-12,0.0234375
2010 W50,2010-12-19,0.0709219858156029
2010 W51,2010-12-26,0.0992366412213741
2010 W52,2011-01-02,0.213235294117647
2011 W01,2011-01-09,0.467455621301775
2011 W02,2011-01-16,0.593457943925233
2011 W03,2011-01-23,0.615
2011 W04,2011-01-30,0.516666666666667
2011 W05,2011-02-06,0.423076923076923
2011 W06,2011-02-13,0.324503311258278
2011 W07,2011-02-20,0.228758169934641
2011 W08,2011-02-27,0.10062893081761
2011 W09,2011-03-06,0.0461538461538462
2011 W10,2011-03-13,0.142857142857143
2011 W11,2011-03-20,0.157142857142857
2011 W12,2011-03-27,0.167883211678832
2011 W13,2011-04-03,0.223021582733813
2011 W14,2011-04-10,0.147887323943662
2011 W15,2011-04-17,0.110294117647059
2011 W16,2011-04-24,0.138461538461538
2011 W17,2011-05-01,0.0793650793650794
2011 W18,2011-05-08,0.0579710144927536
2011 W19,2011-05-15,0.0437956204379562
2011 W20,2011-05-22,0.0703125
2011 W21,2011-05-29,0.05
2011 W22,2011-06-05,0.024390243902439
2011 W23,2011-06-12,0.00862068965517241
2011 W24,2011-06-19,0.0172413793103448
2011 W25,2011-06-26,0.0357142857142857
2011 W26,2011-07-03,0.0175438596491228
2011 W27,2011-07-10,0.00847457627118644
2011 W28,2011-07-17,0.0517241379310345
2011 W29,2011-07-24,0.018018018018018
2011 W30,2011-07-31,0.0420168067226891
2011 W31,2011-08-07,0.0175438596491228
2011 W32,2011-08-14,0.0256410256410256
2011 W33,2011-08-21,0.0185185185185185
2011 W34,2011-08-28,0.036036036036036
2011 W35,2011-09-04,0.0416666666666667
2011 W36,2011-09-11,0.00952380952380952
2011 W37,2011-09-18,0.00854700854700855
2011 W38,2011-09-25,0.0462962962962963
2011 W39,2011-10-02,0.0594059405940594
2011 W40,2011-10-09,0.0377358490566038
2011 W41,2011-10-16,0.00869565217391304
