time,t,data/C3_3.csv
2016 Mar,2016-03-31,0.19961286877586443
2016 Apr,2016-04-30,0
2016 May,2016-05-31,0
2016 Jun,2016-06-30,0
2016 Jul,2016-07-31,0
2016 Aug,2016-08-31,0
2016 Sep,2016-09-30,0
2016 Oct,2016-10-31,0.025935567124994563
2016 Nov,2016-11-30,0.20446313353802348
2016 Dec,2016-12-31,0.3935589373915365
2017 Jan,2017-01-31,0.2363992346371202
2017 Feb,2017-02-28,0.16117785787389327
2017 Mar,2017-03-31,0.14278689983535808
2017 Apr,2017-04-30,0.1270346638188048
2017 May,2017-05-31,0.04256218573399195
2017 Jun,2017-06-30,0
2017 Jul,2017-07-31,0
2017 Aug,2017-08-31,0
2017 Sep,2017-09-30,0
2017 Oct,2017-10-31,0.07615583144217519
2017 Nov,2017-11-30,0.06569661371423496
2017 Dec,2017-12-31,0.4517064922351266
2018 Jan,2018-01-31,0.47957104080452106
2018 Feb,2018-02-28,0.3105170649223513
2018 Mar,2018-03-18,0
