time,t,data/C914_1.csv
2005 Oct,2005-10-31,0.03257702494799708
2005 Nov,2005-11-30,0.20219267329052726
2005 Dec,2005-12-31,0.49932391293074135
2006 Jan,2006-01-31,0.6377312285001431
2006 Feb,2006-02-28,0.4220721300392015
2006 Mar,2006-03-31,0.4112556972820148
2006 Apr,2006-04-30,0.2892027742618262
2006 May,2006-05-31,0.02741283374596415
2006 Jun,2006-06-30,0.01795702621566031
2006 Jul,2006-07-31,0.12787725946569917
2006 Aug,2006-08-31,0.14283741450475662
2006 Sep,2006-09-30,0.034347720030808104
2006 Oct,2006-10-31,0
2006 Nov,2006-11-30,0
2006 Dec,2006-12-31,0
2007 Jan,2007-01-31,0.20271568041825205
2007 Feb,2007-02-28,0.19733099263794962
2007 Mar,2007-03-31,0.12682586724492606
2007 Apr,2007-04-30,0.03325733756143845
2007 May,2007-05-31,0.04822018158315777
2007 Jun,2007-06-30,0.05639603336643362
2007 Jul,2007-07-31,0.3196097902017313
2007 Aug,2007-08-31,0.2409651142913667
2007 Sep,2007-09-30,0.42142677420036373
2007 Oct,2007-10-31,0.16235673964693653
2007 Nov,2007-11-30,0.19360137368599983
2007 Dec,2007-12-31,0.22755112428285795
2008 Jan,2008-01-31,0.249298271560359
2008 Feb,2008-02-29,0.26968344911964637
2008 Mar,2008-03-31,0.3389072742743108
2008 Apr,2008-04-30,0.10425320229024504
2008 May,2008-05-31,0.02425059013565911
2008 Jun,2008-06-30,0.05413056547384687
2008 Jul,2008-07-31,0.08537116603891737
2008 Aug,2008-08-31,0.1980072717773983
2008 Sep,2008-09-16,0.1315719216430452
