time,t,data/C359_3.csv
2012 Jan,2012-01-31,0.013991180238967841
2012 Feb,2012-02-29,0.012230162986800148
2012 Mar,2012-03-31,0.011007896069842968
2012 Apr,2012-04-30,0.009901075653288037
2012 May,2012-05-31,0.009959715145555846
2012 Jun,2012-06-30,0.007606805518309938
2012 Jul,2012-07-31,0.0076434552009773185
2012 Aug,2012-08-31,0.005818301004141706
2012 Sep,2012-09-30,0.004638181222252014
2012 Oct,2012-10-31,0.0034727213134292736
2012 Nov,2012-11-30,0.003978486934239141
2012 Dec,2012-12-12,0.002769047406215544
