time,t,data/C1162_1.csv
2006 W02,2006-01-15,0.05022190941849568
2006 W03,2006-01-22,0.05195750483136072
2006 W04,2006-01-29,0.09429053981125288
2006 W05,2006-02-05,0.09456074674853737
2006 W06,2006-02-12,0.09489689155618314
2006 W07,2006-02-19,0.09440143532049677
2006 W08,2006-02-26,0.0747397306971514
2006 W09,2006-03-05,0.03547857048891359
2006 W10,2006-03-12,0.033222542374316266
2006 W11,2006-03-19,0.033627699078913525
2006 W12,2006-03-26,0.033032413829708215
2006 W13,2006-04-02,0.027115066344772745
2006 W14,2006-04-09,0.027650869179456375
2006 W15,2006-04-16,0.028456878951424527
2006 W16,2006-04-23,0.03378447443501717
2006 W17,2006-04-30,0.03458741018039506
2006 W18,2006-05-07,0.04005272205523169
2006 W19,2006-05-14,0.036661302219519035
2006 W20,2006-05-21,0.0364644108164124
2006 W21,2006-05-28,0.03187873165038081
2006 W22,2006-06-04,0.04945632309618957
2006 W23,2006-06-11,0.08307095756209446
2006 W24,2006-06-18,0.08400515424287675
2006 W25,2006-06-25,0.08261123688551994
2006 W26,2006-07-02,0.036296107860595256
2006 W27,2006-07-09,0.03783358225971756
2006 W28,2006-07-16,0.03870214847279764
2006 W29,2006-07-23,0.0380070342100734
2006 W30,2006-07-30,0.034522240816681385
2006 W31,2006-08-06,0.030133453053756434
2006 W32,2006-08-13,0.026541452983028832
2006 W33,2006-08-20,0.026548830646845475
2006 W34,2006-08-27,0.026253032438196988
2006 W35,2006-09-03,0.0251622909533053
2006 W36,2006-09-10,0.0262659433498761
2006 W37,2006-09-17,0.02643632127364169
2006 W38,2006-09-24,0.026375916651142917
2006 W39,2006-10-01,0.02271674909941797
2006 W40,2006-10-08,0.0219908177201263
2006 W41,2006-10-15,0.01959768801960303
2006 W42,2006-10-22,0.03544490989775016
2006 W43,2006-10-29,0.03937582140005477
2006 W44,2006-11-05,0.03538819410715974
2006 W45,2006-11-12,0.022415033389583214
2006 W46,2006-11-19,0.030074431743223287
2006 W47,2006-11-26,0.0316085247130963
2006 W48,2006-12-03,0.032481394563402766
2006 W49,2006-12-10,0.03211873627641597
2006 W50,2006-12-17,0.03192276708128641
2006 W51,2006-12-24,0.04221253313755366
2006 W52,2006-12-31,0.04288205612891391
2007 W01,2007-01-07,0.04281888488248391
2007 W02,2007-01-14,0.03683652173516429
2007 W03,2007-01-21,0.03624123648595898
2007 W04,2007-01-28,0.032652003039162616
2007 W05,2007-02-04,0.030160888741074574
2007 W06,2007-02-11,0.03146419916468324
2007 W07,2007-02-18,0.030071204015303513
2007 W08,2007-02-25,0.022887203873848308
2007 W09,2007-03-04,0.01930165925896027
2007 W10,2007-03-11,0.018373303228699497
2007 W11,2007-03-18,0.018577264892963727
2007 W12,2007-03-25,0.019312725754685234
