time,t,data/C1154_2.csv
2014 W14,2014-04-06,0.18497918185030587
2014 W15,2014-04-13,0.13894929541542522
2014 W16,2014-04-20,0.08554281485827098
2014 W17,2014-04-27,0.05880760832369558
2014 W18,2014-05-04,0.05507821179056105
2014 W19,2014-05-11,0.03021227013055272
2014 W20,2014-05-18,0.015431682238006839
2014 W21,2014-05-25,0.02091313404038142
2014 W22,2014-06-01,0.015378405144676366
2014 W23,2014-06-08,0.03371181406103285
2014 W24,2014-06-15,0.018979936653817808
2014 W25,2014-06-22,0.007792605098193461
2014 W26,2014-06-29,0.01519574082468611
2014 W27,2014-07-06,0.015156163555354873
2014 W28,2014-07-13,0.015116586286023637
2014 W29,2014-07-20,0.03164161843447644
2014 W30,2014-07-27,0.015045042760694183
2014 W31,2014-08-03,0.014991765667363599
2014 W32,2014-08-10,0.03336170744771816
2014 W33,2014-08-17,0.015697382919720004
2014 W34,2014-08-24,0.02315609966959531
2014 W35,2014-08-31,0.03508484086629304
2014 W36,2014-09-07,0.014804534739373598
2014 W37,2014-09-14,0.0072980253634989944
2014 W38,2014-09-21,0.015500230860529096
2014 W39,2014-09-28,0.014685802931379999
2014 W40,2014-10-05,0.014641659054049017
2014 W41,2014-10-12,0.02656887804808017
2014 W42,2014-10-19,0.020084548388870083
2014 W43,2014-10-26,0.03844738655678048
2014 W44,2014-11-02,0.018162513821861404
2014 W45,2014-11-09,0.03100838212517687
2014 W46,2014-11-16,0.03465253530898271
2014 W47,2014-11-23,0.05414883280882188
2014 W48,2014-11-30,0.09726224906310277
2014 W49,2014-12-07,0.21023717732638014
2014 W50,2014-12-14,0.32893541023196854
2014 W51,2014-12-21,0.4613990084809102
2014 W52,2014-12-28,0.48713945557287197
2015 W01,2015-01-04,0.46687437147261845
2015 W02,2015-01-11,0.41162907009422883
2015 W03,2015-01-18,0.2938044948898405
2015 W04,2015-01-25,0.2459205656070586
2015 W05,2015-02-01,0.14834128586825812
2015 W06,2015-02-08,0.09674318207900756
2015 W07,2015-02-15,0.0783321408266553
2015 W08,2015-02-22,0.026734037037404623
2015 W09,2015-03-01,0.05246230650803374
2015 W10,2015-03-08,0.06714242902458478
2015 W11,2015-03-15,0.10759293528554048
2015 W12,2015-03-22,0.1553997396332153
2015 W13,2015-03-29,0.1663991761019626
