time,t,data/C618_2.csv
2009 Apr,2009-04-30,0.05400648444392292
2009 May,2009-05-31,0.05388872200492817
2009 Jun,2009-06-30,0.06827286370229296
2009 Jul,2009-07-31,0.06934849073451921
2009 Aug,2009-08-31,0.06294895498450728
2009 Sep,2009-09-30,0.21693068126937587
2009 Oct,2009-10-31,0.19347975075198454
2009 Nov,2009-11-30,0.1989212665877672
2009 Dec,2009-12-31,0.17742225949861806
2010 Jan,2010-01-31,0.09761650461056479
2010 Feb,2010-02-28,0.08616098498089095
2010 Mar,2010-03-31,0.05624138857323552
2010 Apr,2010-04-05,0.05772439345991859
