time,t,data/C536_1.csv
2009 Sep,2009-09-30,0.3846153846
2009 Oct,2009-10-31,0.5609756098
2009 Nov,2009-11-30,0.6633663366
2009 Dec,2009-12-31,0.75
2010 Jan,2010-01-31,0.08333333333
2010 Feb,2010-02-28,0.5
2010 Mar,2010-03-31,0.08333333333
2010 Apr,2010-04-30,0.1666666667
2010 May,2010-05-31,0.08333333333
2010 Jun,2010-06-30,0.2
2010 Jul,2010-07-31,0.06666666667
2010 Aug,2010-08-31,0.3571428571
2010 Sep,2010-09-30,1
2010 Oct,2010-10-31,0.3
2010 Nov,2010-11-30,0
2010 Dec,2010-12-31,0.03448275862
2011 Jan,2011-01-31,0.2272727273
2011 Feb,2011-02-28,0.05
2011 Mar,2011-03-01,0.1081081081
