time,t,data/E1_44.csv
2010 W39,2010-10-03,0.0757575757575758
2010 W40,2010-10-10,0.0365853658536585
2010 W41,2010-10-17,0.0387096774193548
2010 W42,2010-10-24,0.08125
2010 W43,2010-10-31,0.0277777777777778
2010 W44,2010-11-07,0.019047619047619
2010 W45,2010-11-14,0.0336134453781513
2010 W46,2010-11-21,0.0363636363636364
2010 W47,2010-11-28,0.0181818181818182
2010 W48,2010-12-05,0.0348837209302326
2010 W49,2010-12-12,0.0192307692307692
2010 W50,2010-12-19,0.040983606557377
2010 W51,2010-12-26,0.00961538461538462
2010 W52,2011-01-02,0.00917431192660551
2011 W01,2011-01-09,0.0344827586206897
2011 W02,2011-01-16,0.0241935483870968
2011 W03,2011-01-23,0.0152671755725191
2011 W04,2011-01-30,0.0540540540540541
2011 W05,2011-02-06,0.0117647058823529
2011 W06,2011-02-13,0.00763358778625954
2011 W07,2011-02-20,0.0105263157894737
2011 W08,2011-02-27,0
2011 W09,2011-03-06,0
2011 W10,2011-03-13,0
2011 W11,2011-03-20,0
2011 W12,2011-03-27,0
2011 W13,2011-04-03,0.00675675675675676
2011 W14,2011-04-10,0
2011 W15,2011-04-17,0
2011 W16,2011-04-24,0
2011 W17,2011-05-01,0
2011 W18,2011-05-08,0
2011 W19,2011-05-15,0
2011 W20,2011-05-22,0
2011 W21,2011-05-29,0
2011 W22,2011-06-05,0
2011 W23,2011-06-12,0
2011 W24,2011-06-19,0
2011 W25,2011-06-26,0
2011 W26,2011-07-03,0
2011 W27,2011-07-10,0
2011 W28,2011-07-17,0
2011 W29,2011-07-24,0
2011 W30,2011-07-31,0
2011 W31,2011-08-07,0
2011 W32,2011-08-14,0.0099009900990099
2011 W33,2011-08-21,0
2011 W34,2011-08-28,0
2011 W35,2011-09-04,0
2011 W36,2011-09-11,0
2011 W37,2011-09-18,0
2011 W38,2011-09-25,0
2011 W39,2011-10-02,0.0204081632653061
2011 W40,2011-10-09,0.00632911392405063
2011 W41,2011-10-16,0.0104166666666667
2011 W42,2011-10-23,0.00769230769230769
2011 W43,2011-10-30,0
2011 W44,2011-11-06,0.0188679245283019
2011 W45,2011-11-13,0.00980392156862745
2011 W46,2011-11-20,0.00869565217391304
2011 W47,2011-11-27,0
2011 W48,2011-12-04,0.0202020202020202
2011 W49,2011-12-11,0.045045045045045
2011 W50,2011-12-18,0.0263157894736842
2011 W51,2011-12-25,0.105691056910569
2011 W52,2012-01-01,0.0873015873015873
2012 W01,2012-01-08,0.162790697674419
2012 W02,2012-01-15,0.138613861386139
2012 W03,2012-01-22,0.127450980392157
2012 W04,2012-01-29,0.166666666666667
2012 W05,2012-02-05,0.233333333333333
2012 W06,2012-02-12,0.198347107438017
2012 W07,2012-02-19,0.164285714285714
2012 W08,2012-02-26,0.17687074829932
2012 W09,2012-03-04,0.129411764705882
2012 W10,2012-03-11,0.0828025477707006
2012 W11,2012-03-18,0.108108108108108
2012 W12,2012-03-25,0.05
2012 W13,2012-04-01,0.0471698113207547
2012 W14,2012-04-08,0.0258064516129032
2012 W15,2012-04-15,0.00735294117647059
2012 W16,2012-04-22,0.00847457627118644
2012 W17,2012-04-29,0
2012 W18,2012-05-06,0
2012 W19,2012-05-13,0
2012 W20,2012-05-20,0.00925925925925926
2012 W21,2012-05-27,0.00628930817610063
2012 W22,2012-06-03,0.00574712643678161
2012 W23,2012-06-10,0.00854700854700855
2012 W24,2012-06-17,0.0594059405940594
2012 W25,2012-06-24,0.0210526315789474
2012 W26,2012-07-01,0.0683760683760684
2012 W27,2012-07-08,0.019047619047619
2012 W28,2012-07-15,0.0689655172413793
2012 W29,2012-07-22,0.225225225225225
2012 W30,2012-07-29,0.20952380952381
2012 W31,2012-08-05,0.169354838709677
2012 W32,2012-08-12,0.132231404958678
2012 W33,2012-08-19,0.161016949152542
2012 W34,2012-08-26,0.118181818181818
2012 W35,2012-09-02,0.0505050505050505
2012 W36,2012-09-09,0.0531914893617021
2012 W37,2012-09-16,0.0285714285714286
2012 W38,2012-09-23,0.036144578313253
2012 W39,2012-09-30,0.0116279069767442
2012 W40,2012-10-07,0.0168067226890756
2012 W41,2012-10-14,0.0819672131147541
2012 W42,2012-10-21,0.0446428571428571
2012 W43,2012-10-28,0.0491803278688525
2012 W44,2012-11-04,0.0142857142857143
2012 W45,2012-11-11,0
2012 W46,2012-11-18,0.0384615384615385
2012 W47,2012-11-25,0.0225563909774436
2012 W48,2012-12-02,0.0168067226890756
2012 W49,2012-12-09,0.0460526315789474
2012 W50,2012-12-16,0.0256410256410256
2012 W51,2012-12-23,0.0725806451612903
2012 W52,2012-12-30,0.060099846390169
2013 W01,2013-01-06,0.0476190476190476
2013 W02,2013-01-13,0.0827586206896552
2013 W03,2013-01-20,0.0927152317880795
2013 W04,2013-01-27,0.0784313725490196
2013 W05,2013-02-03,0.0860927152317881
2013 W06,2013-02-10,0.040983606557377
2013 W07,2013-02-17,0.032520325203252
2013 W08,2013-02-24,0.037914691943128
2013 W09,2013-03-03,0.0391061452513966
2013 W10,2013-03-10,0.0335195530726257
2013 W11,2013-03-17,0.0229885057471264
2013 W12,2013-03-24,0.0222222222222222
2013 W13,2013-03-31,0.0121951219512195
2013 W14,2013-04-07,0
2013 W15,2013-04-14,0
2013 W16,2013-04-21,0.0138888888888889
2013 W17,2013-04-28,0
2013 W18,2013-05-05,0.0075187969924812
2013 W19,2013-05-12,0
2013 W20,2013-05-19,0.00617283950617284
2013 W21,2013-05-26,0.00383141762452107
2013 W22,2013-06-02,0
2013 W23,2013-06-09,0
2013 W24,2013-06-16,0
2013 W25,2013-06-23,0
2013 W26,2013-06-30,0
2013 W27,2013-07-07,0
2013 W28,2013-07-14,0
2013 W29,2013-07-21,0
2013 W30,2013-07-28,0
2013 W31,2013-08-04,0
2013 W32,2013-08-11,0.0036231884057971
2013 W33,2013-08-18,0.00732600732600733
2013 W34,2013-08-25,0.00390625
2013 W35,2013-09-01,0.0078740157480315
2013 W36,2013-09-08,0.0123456790123457
2013 W37,2013-09-15,0.0174216027874564
2013 W38,2013-09-22,0.0234375
2013 W39,2013-09-29,0.00906344410876133
2013 W40,2013-10-06,0.0316455696202532
2013 W41,2013-10-13,0.018796992481203
2013 W42,2013-10-20,0.0194552529182879
2013 W43,2013-10-27,0.0476190476190476
2013 W44,2013-11-03,0.0444444444444444
2013 W45,2013-11-10,0.0622837370242214
2013 W46,2013-11-17,0.0839416058394161
2013 W47,2013-11-24,0.0761904761904762
2013 W48,2013-12-01,0.0780780780780781
2013 W49,2013-12-08,0.0707395498392283
2013 W50,2013-12-15,0.0402930402930403
2013 W51,2013-12-22,0.0588235294117647
2013 W52,2013-12-29,0.0636704119850187
2014 W01,2014-01-05,0.0599250936329588
2014 W02,2014-01-12,0.0528169014084507
2014 W03,2014-01-19,0.062992125984252
2014 W04,2014-01-26,0.0530035335689046
2014 W05,2014-02-02,0.0172413793103448
2014 W06,2014-02-09,0.0187265917602996
2014 W07,2014-02-16,0.018450184501845
2014 W08,2014-02-23,0.0154440154440154
2014 W09,2014-03-02,0.00383141762452107
2014 W10,2014-03-09,0.00357142857142857
2014 W11,2014-03-16,0.0111524163568773
2014 W12,2014-03-23,0.0103448275862069
2014 W13,2014-03-30,0.0034965034965035
2014 W14,2014-04-06,0.00711743772241993
2014 W15,2014-04-13,0.00350877192982456
2014 W16,2014-04-20,0.00364963503649635
2014 W17,2014-04-27,0.0032258064516129
2014 W18,2014-05-04,0
2014 W19,2014-05-11,0.00350877192982456
2014 W20,2014-05-18,0
2014 W21,2014-05-25,0
2014 W22,2014-06-01,0.00719424460431655
2014 W23,2014-06-08,0.00738007380073801
2014 W24,2014-06-15,0.0263157894736842
2014 W25,2014-06-22,0.0568181818181818
2014 W26,2014-06-29,0.107806691449814
2014 W27,2014-07-06,0.166051660516605
2014 W28,2014-07-13,0.220149253731343
2014 W29,2014-07-20,0.252669039145907
2014 W30,2014-07-27,0.275193798449612
2014 W31,2014-08-03,0.268382352941176
2014 W32,2014-08-10,0.20532319391635
2014 W33,2014-08-17,0.15018315018315
2014 W34,2014-08-24,0.13671875
2014 W35,2014-08-31,0.108208955223881
2014 W36,2014-09-07,0.060377358490566
2014 W37,2014-09-14,0.0472727272727273
2014 W38,2014-09-21,0.0265151515151515
2014 W39,2014-09-28,0.0477941176470588
2014 W40,2014-10-05,0.0384615384615385
2014 W41,2014-10-12,0.0307692307692308
2014 W42,2014-10-19,0
2014 W43,2014-10-26,0.0191570881226054
2014 W44,2014-11-02,0.0152091254752852
2014 W45,2014-11-09,0.0190839694656489
2014 W46,2014-11-16,0.0153846153846154
2014 W47,2014-11-23,0.00367647058823529
2014 W48,2014-11-30,0.033210332103321
2014 W49,2014-12-07,0.0516605166051661
2014 W50,2014-12-14,0.033210332103321
2014 W51,2014-12-21,0.114391143911439
2014 W52,2014-12-28,0.133574007220217
2015 W01,2015-01-04,0.148854961832061
2015 W02,2015-01-11,0.202797202797203
2015 W03,2015-01-18,0.188888888888889
2015 W04,2015-01-25,0.232876712328767
2015 W05,2015-02-01,0.166666666666667
2015 W06,2015-02-08,0.182156133828996
2015 W07,2015-02-15,0.176470588235294
2015 W08,2015-02-22,0.152671755725191
2015 W09,2015-03-01,0.107142857142857
2015 W10,2015-03-08,0.113475177304965
2015 W11,2015-03-15,0.148014440433213
2015 W12,2015-03-22,0.145522388059701
2015 W13,2015-03-29,0.0740740740740741
2015 W14,2015-04-05,0.0557620817843866
2015 W15,2015-04-12,0.027027027027027
2015 W16,2015-04-19,0.0636704119850187
2015 W17,2015-04-26,0.0229885057471264
2015 W18,2015-05-03,0.0254545454545455
2015 W19,2015-05-10,0.0185185185185185
2015 W20,2015-05-17,0.0114503816793893
2015 W21,2015-05-24,0.0359712230215827
2015 W22,2015-05-31,0.0401459854014599
2015 W23,2015-06-07,0.0749063670411985
2015 W24,2015-06-14,0.0441176470588235
2015 W25,2015-06-21,0.137323943661972
2015 W26,2015-06-28,0.153558052434457
2015 W27,2015-07-05,0.202127659574468
2015 W28,2015-07-12,0.200757575757576
2015 W29,2015-07-19,0.228136882129278
2015 W30,2015-07-26,0.211538461538462
2015 W31,2015-08-02,0.152091254752852
2015 W32,2015-08-09,0.134099616858238
2015 W33,2015-08-16,0.18007662835249
2015 W34,2015-08-23,0.144486692015209
2015 W35,2015-08-30,0.157088122605364
2015 W36,2015-09-06,0.166023166023166
2015 W37,2015-09-13,0.134099616858238
2015 W38,2015-09-20,0.161048689138577
2015 W39,2015-09-27,0.111538461538462
2015 W40,2015-10-04,0.0877862595419847
