time,t,data/C307_7.csv
2012 Jan,2012-01-31,0.005789273871137757
2012 Feb,2012-02-29,0.009862475594260438
2012 Mar,2012-03-31,0.010923879918595922
2012 Apr,2012-04-30,0.006703468972428028
2012 May,2012-05-31,0.027595091992851296
2012 Jun,2012-06-30,0.014571414551502595
2012 Jul,2012-07-31,0.0068298622948110635
2012 Aug,2012-08-31,0.009003135298189115
2012 Sep,2012-09-30,0.011871287486699557
2012 Oct,2012-10-31,0.01094061528290001
2012 Nov,2012-11-30,0.011863023109265437
2012 Dec,2012-12-17,0.01477776572556071
