time,t,data/C549_1.csv
2009 Jan,2009-01-31,0.0015789473679999999
2009 Feb,2009-02-28,0.0032051282050000003
2009 Mar,2009-03-31,0.011935483870000001
2009 Apr,2009-04-30,0.002307692308
2009 May,2009-05-31,6.060606061e-4
2009 Jun,2009-06-30,6.451612903e-4
2009 Jul,2009-07-31,0.005
2009 Aug,2009-08-31,0.00625
2009 Sep,2009-09-30,0.005252525253
2009 Oct,2009-10-31,0.0033707865170000003
2009 Nov,2009-11-30,0.005764705881999999
2009 Dec,2009-12-31,0.007653061223999999
2010 Jan,2010-01-31,0.007738095238
2010 Feb,2010-02-28,0.0065060240960000005
2010 Mar,2010-03-31,0.00686746988
2010 Apr,2010-04-30,0.003064516129
2010 May,2010-05-31,0.0011111111110000001
2010 Jun,2010-06-30,0
2010 Jul,2010-07-31,0.001891891892
2010 Aug,2010-08-31,0.001166666667
2010 Sep,2010-09-30,0.002753623188
2010 Oct,2010-10-31,0.002272727273
2010 Nov,2010-11-30,0.002352941176
2010 Dec,2010-12-01,0.0041176470590000005
