time,t,data/C101_5.csv
2014 W15,2014-04-13,0.017697516930022597
2014 W16,2014-04-20,0.01878103837471782
2014 W17,2014-04-27,0.008668171557562089
2014 W18,2014-05-04,0.007584650112866832
2014 W19,2014-05-11,0.013724604966139954
2014 W20,2014-05-18,0.007223476297968379
2014 W21,2014-05-25,0.006501128668171575
2014 W22,2014-06-01,0.002889390519187386
2014 W23,2014-06-08,0.010112866817155765
2014 W24,2014-06-15,0.010112866817155765
2014 W25,2014-06-22,0.004334085778781062
2014 W26,2014-06-29,0.004334085778781062
2014 W27,2014-07-06,0.0032505643340857704
2014 W28,2014-07-13,0.0050564334085779
2014 W29,2014-07-20,0.0036117381489841893
2014 W30,2014-07-27,0.0036117381489841893
2014 W31,2014-08-03,0.002889390519187386
2014 W32,2014-08-10,0.0018058690744920947
2014 W33,2014-08-17,0.002889390519187386
2014 W34,2014-08-24,0.0032505643340857704
2014 W35,2014-08-31,0.002528216704288967
2014 W36,2014-09-07,0.002889390519187386
2014 W37,2014-09-14,0.004334085778781062
2014 W38,2014-09-21,0.003972911963882608
2014 W39,2014-09-28,0.003972911963882608
2014 W40,2014-10-05,0.007584650112866832
2014 W41,2014-10-12,0.022031602708803624
2014 W42,2014-10-19,0.014085778781038408
2014 W43,2014-10-26,0.01625282167042892
2014 W44,2014-11-02,0.012279909706546313
2014 W45,2014-11-09,0.012279909706546313
2014 W46,2014-11-16,0.010835214446952603
2014 W47,2014-11-23,0.029255079006772003
2014 W48,2014-11-30,0.02672686230248307
2014 W49,2014-12-07,0.036839729119638835
2014 W50,2014-12-14,0.036839729119638835
2014 W51,2014-12-21,0.036839729119638835
2014 W52,2014-12-28,0.04370203160270881
2015 W01,2015-01-04,0.04406320541760723
2015 W02,2015-01-11,0.05670428893905193
2015 W03,2015-01-18,0.08234762979683974
2015 W04,2015-01-25,0.11521444695259593
2015 W05,2015-02-01,0.12279909706546276
2015 W06,2015-02-08,0.10401805869074493
2015 W07,2015-02-15,0.09715575620767494
2015 W08,2015-02-22,0.06934537246049663
2015 W09,2015-03-01,0.065372460496614
2015 W10,2015-03-08,0.04478555304740407
2015 W11,2015-03-15,0.036839729119638835
2015 W12,2015-03-22,0.03972911963882619
2015 W13,2015-03-29,0.02636568848758465
2015 W14,2015-04-04,0.024920993227990976
