time,t,data/C776_1.csv
2013 Jan,2013-01-31,0.006039451497756459
2013 Feb,2013-02-28,0.006622395982657785
2013 Mar,2013-03-31,0.012573177180799797
2013 Apr,2013-04-30,0.01791191699088254
2013 May,2013-05-31,0.011894679535209533
2013 Jun,2013-06-30,0.009502622160536038
2013 Jul,2013-07-31,0.01110274935884276
2013 Aug,2013-08-31,0.009662593591269582
2013 Sep,2013-09-30,0.007921917379985152
2013 Oct,2013-10-31,0.00791770765026779
2013 Nov,2013-11-30,0.011176323353838393
2013 Dec,2013-12-31,0.015985296257045332
2014 Jan,2014-01-31,0.016279548565867445
2014 Feb,2014-02-28,0.011463758991529082
2014 Mar,2014-03-31,0.007343607331562613
2014 Apr,2014-04-30,0.006151266872228833
2014 May,2014-05-31,0.007089230762311844
2014 Jun,2014-06-30,0.011089661244400952
2014 Jul,2014-07-31,0.015584760254071047
2014 Aug,2014-08-31,0.014184080568782922
2014 Sep,2014-09-30,0.009394929078933861
2014 Oct,2014-10-31,0.005957638210494425
2014 Nov,2014-11-30,0.005023062143765408
2014 Dec,2014-12-31,0.010718929485046604
2015 Jan,2015-01-31,0.014496991050053474
2015 Feb,2015-02-28,0.01361423809369263
2015 Mar,2015-03-31,0.009496563779553772
2015 Apr,2015-04-30,0.0070380759530349855
2015 May,2015-05-31,0.0060762418036755216
2015 Jun,2015-06-30,0.011527322365524204
2015 Jul,2015-07-31,0.015675397762475445
2015 Aug,2015-08-31,0.012570525717488424
2015 Sep,2015-09-30,0.008066214172548221
2015 Oct,2015-10-31,0.005580134112853328
2015 Nov,2015-11-30,0.006556144847243928
2015 Dec,2015-12-31,0.010172490120153093
2016 Jan,2016-01-31,0.011442193378491295
2016 Feb,2016-02-29,0.009834581869646086
2016 Mar,2016-03-31,0.007266918505228787
2016 Apr,2016-04-30,0.006680095510839798
2016 May,2016-05-31,0.006761008907523427
2016 Jun,2016-06-30,0.007507022923337627
2016 Jul,2016-07-31,0.007943340730909444
2016 Aug,2016-08-31,0.008129894664655387
2016 Sep,2016-09-30,0.006337888297768154
2016 Oct,2016-10-31,0.007725708149680318
2016 Nov,2016-11-30,0.011513903408957981
2016 Dec,2016-12-19,0.013422661976498086
