time,t,data/C420_10.csv
2010 Jan,2010-01-31,0.491069674392317
2010 Feb,2010-02-28,0.10294388100674168
2010 Mar,2010-03-31,0.2830916357535985
2010 Apr,2010-04-30,0.5000246706468643
2010 May,2010-05-31,0.3325872331645262
2010 Jun,2010-06-30,0.14308436912670386
2010 Jul,2010-07-31,0.36737194812884355
2010 Aug,2010-08-31,0.3709711712277458
2010 Sep,2010-09-30,0.42606296846194214
2010 Oct,2010-10-31,0.3781642347389621
2010 Nov,2010-11-30,0.03786002323526372
2010 Dec,2010-12-31,0.1205362950071095
2011 Jan,2011-01-31,0.5986211351188899
2011 Feb,2011-02-28,0.6831382857040329
2011 Mar,2011-03-31,0.6517931074698232
2011 Apr,2011-04-30,0.24159650484217499
2011 May,2011-05-31,0
2011 Jun,2011-06-30,0
2011 Jul,2011-07-31,0.14205089330169496
2011 Aug,2011-08-31,0.3553039647972297
2011 Sep,2011-09-30,0.4986718220842659
2011 Oct,2011-10-31,0.1988202945226677
2011 Nov,2011-11-30,0.5426501657418912
2011 Dec,2011-12-15,0.5977419629760873
