time,t,data/C427_8.csv
2009 Aug,2009-08-31,0
2009 Sep,2009-09-30,0.262295082
2009 Oct,2009-10-31,0.3731343284
2009 Nov,2009-11-30,0.4516129032
2009 Dec,2009-12-31,0.4626865672
2010 Jan,2010-01-31,0.2131147541
2010 Feb,2010-02-28,0.1
2010 Mar,2010-03-31,0
2010 Apr,2010-04-30,0
2010 May,2010-05-31,0
2010 Jun,2010-06-30,0
2010 Jul,2010-07-31,0.03125
2010 Aug,2010-08-31,0
2010 Sep,2010-09-30,0
2010 Oct,2010-10-31,0
2010 Nov,2010-11-30,0
2010 Dec,2010-12-31,0.0625
2011 Jan,2011-01-31,0.1219512195
2011 Feb,2011-02-28,0.5384615385
2011 Mar,2011-03-31,0.1951219512
2011 Apr,2011-04-30,0
2011 May,2011-05-31,0
2011 Jun,2011-06-30,0
2011 Jul,2011-07-31,0
2011 Aug,2011-08-31,0
2011 Sep,2011-09-30,0
2011 Oct,2011-10-31,0
2011 Nov,2011-11-30,0
2011 Dec,2011-12-31,0
2012 Jan,2012-01-31,0
2012 Feb,2012-02-29,0
2012 Mar,2012-03-31,0
2012 Apr,2012-04-30,0
2012 May,2012-05-31,0
2012 Jun,2012-06-30,0
2012 Jul,2012-07-31,0
2012 Aug,2012-08-31,0
2012 Sep,2012-09-30,0
2012 Oct,2012-10-01,0
