time,t,data/C212_8.csv
2012 W15,2012-04-15,0.05787454947174947
2012 W16,2012-04-22,0.07482190691581236
2012 W17,2012-04-29,0.038874151898899145
2012 W18,2012-05-06,0.03785740821607109
2012 W19,2012-05-13,0.019873754326048876
2012 W20,2012-05-20,0
2012 W21,2012-05-27,0
2012 W22,2012-06-03,0
2012 W23,2012-06-10,0
2012 W24,2012-06-17,0
2012 W25,2012-06-24,0
2012 W26,2012-07-01,0
2012 W27,2012-07-08,0
2012 W28,2012-07-15,0
2012 W29,2012-07-22,0
2012 W30,2012-07-29,0
2012 W31,2012-08-05,0
2012 W32,2012-08-12,0.07848967939986057
2012 W33,2012-08-19,0.021582991703110843
2012 W34,2012-08-26,0
2012 W35,2012-09-02,0.1223603769772732
2012 W36,2012-09-09,0.04348290110864167
2012 W37,2012-09-16,0.09835284264587985
2012 W38,2012-09-23,0.0853584021481969
2012 W39,2012-09-30,0.11927104040252617
2012 W40,2012-10-07,0.02444339800952866
2012 W41,2012-10-14,0.013444968748166919
2012 W42,2012-10-21,0
2012 W43,2012-10-28,0
2012 W44,2012-11-04,0.017379147629879133
2012 W45,2012-11-11,0.01137156115778426
2012 W46,2012-11-18,0.01734167150054411
2012 W47,2012-11-25,0
2012 W48,2012-12-02,0.009318521028996662
2012 W49,2012-12-09,0.024269052538274494
2012 W50,2012-12-16,0.02824233694624939
2012 W51,2012-12-23,0.0491825315614185
2012 W52,2012-12-30,0.037185281983432295
2013 W01,2013-01-06,0.14195876322255596
2013 W02,2013-01-13,0.19383142911145718
2013 W03,2013-01-20,0.3055901349792414
2013 W04,2013-01-27,0.32153948680514366
2013 W05,2013-02-03,0.2985698783166374
2013 W06,2013-02-10,0.24066599970019092
2013 W07,2013-02-17,0.205713806206047
2013 W08,2013-02-24,0.1468143660668313
2013 W09,2013-03-03,0.10487694794402697
2013 W10,2013-03-10,0.09487652430082577
2013 W11,2013-03-17,0.049948348117394736
2013 W12,2013-03-24,0.04294682951945822
2013 W13,2013-03-27,0.023963540614347745
