time,t,data/E427_13.csv
2005 W37,2005-09-18,0
2005 W38,2005-09-25,0
2005 W39,2005-10-02,0
2005 W40,2005-10-09,0
2005 W41,2005-10-16,0
2005 W42,2005-10-23,0
2005 W43,2005-10-30,0
2005 W44,2005-11-06,0.149509803921569
2005 W45,2005-11-13,0.199754901960784
2005 W46,2005-11-20,0.250612745098039
2005 W47,2005-11-27,0.149509803921569
2005 W48,2005-12-04,0.149509803921569
2005 W49,2005-12-11,0.300857843137255
2005 W50,2005-12-18,0.149509803921569
2005 W51,2005-12-25,0.199754901960784
2005 W52,2006-01-01,0.250612745098039
2006 W01,2006-01-08,0.250612745098039
2006 W02,2006-01-15,0.199754901960784
2006 W03,2006-01-22,0.351102941176471
2006 W04,2006-01-29,0.250612745098039
2006 W05,2006-02-05,0.0992647058823529
2006 W06,2006-02-12,0
2006 W07,2006-02-19,0
2006 W08,2006-02-26,0.0490196078431373
2006 W09,2006-03-05,0
2006 W10,2006-03-12,0.0992647058823529
2006 W11,2006-03-19,0
2006 W12,2006-03-26,0.149509803921569
2006 W13,2006-04-02,0.0490196078431373
2006 W14,2006-04-09,0.149509803921569
2006 W15,2006-04-16,0.0490196078431373
2006 W16,2006-04-23,0.0992647058823529
2006 W17,2006-04-30,0
2006 W18,2006-05-07,0.149509803921569
2006 W19,2006-05-14,0
2006 W20,2006-05-21,0
2006 W21,2006-05-28,0
2006 W22,2006-06-04,0.0992647058823529
2006 W23,2006-06-11,0
2006 W24,2006-06-18,0
2006 W25,2006-06-25,0
2006 W26,2006-07-02,0
2006 W27,2006-07-09,0
2006 W28,2006-07-16,0
2006 W29,2006-07-23,0
2006 W30,2006-07-30,0
2006 W31,2006-08-06,0
2006 W32,2006-08-13,0
2006 W33,2006-08-20,0
2006 W34,2006-08-27,0
2006 W35,2006-09-03,0
2006 W36,2006-09-10,0
2006 W37,2006-09-17,0
2006 W38,2006-09-24,0
2006 W39,2006-10-01,0
2006 W40,2006-10-08,0
2006 W41,2006-10-15,0
2006 W42,2006-10-22,0
2006 W43,2006-10-29,0
2006 W44,2006-11-05,0
2006 W45,2006-11-12,0
2006 W46,2006-11-19,0
2006 W47,2006-11-26,0
2006 W48,2006-12-03,0.0490196078431373
2006 W49,2006-12-10,0.0992647058823529
2006 W50,2006-12-17,0.0490196078431373
2006 W51,2006-12-24,0.199754901960784
2006 W52,2006-12-31,0.199754901960784
2007 W01,2007-01-07,0.300857843137255
2007 W02,2007-01-14,0.300857843137255
2007 W03,2007-01-21,0.300857843137255
2007 W04,2007-01-28,0.300857843137255
2007 W05,2007-02-04,0.250612745098039
2007 W06,2007-02-11,0.149509803921569
2007 W07,2007-02-18,0.199754901960784
2007 W08,2007-02-25,0.0992647058823529
2007 W09,2007-03-04,0
