time,t,data/C31_2.csv
2017 W02,2017-01-15,0.031204379562043805
2017 W03,2017-01-22,0
2017 W04,2017-01-29,0
2017 W05,2017-02-05,0
2017 W06,2017-02-12,0
2017 W07,2017-02-19,0
2017 W08,2017-02-26,0
2017 W09,2017-03-05,0
2017 W10,2017-03-12,0.0804744525547445
2017 W11,2017-03-19,0.0262773722627736
2017 W12,2017-03-26,0.03448905109489042
2017 W13,2017-04-02,0.027919708029197077
2017 W14,2017-04-09,0.02956204379562033
2017 W15,2017-04-16,0.011496350364963437
2017 W16,2017-04-23,0.018065693430656893
2017 W17,2017-04-30,0.01642335766423353
2017 W18,2017-05-07,0
2017 W19,2017-05-14,0
2017 W20,2017-05-21,0
2017 W21,2017-05-28,0
2017 W22,2017-06-04,0
2017 W23,2017-06-11,0.019708029197080146
2017 W24,2017-06-18,0.01642335766423353
2017 W25,2017-06-25,0.031204379562043805
2017 W26,2017-07-02,0.01642335766423353
2017 W27,2017-07-09,0.01642335766423353
2017 W28,2017-07-16,0.014781021897810165
2017 W29,2017-07-23,0.03284671532846706
2017 W30,2017-07-30,0.02956204379562033
2017 W31,2017-08-06,0
2017 W32,2017-08-13,0
2017 W33,2017-08-20,0
2017 W34,2017-08-27,0
2017 W35,2017-09-03,0
2017 W36,2017-09-10,0
2017 W37,2017-09-17,0
2017 W38,2017-09-24,0
2017 W39,2017-10-01,0
2017 W40,2017-10-08,0
2017 W41,2017-10-15,0
2017 W42,2017-10-22,0
2017 W43,2017-10-29,0
2017 W44,2017-11-05,0
2017 W45,2017-11-12,0.014781021897810165
2017 W46,2017-11-19,0.009854014598540073
2017 W47,2017-11-26,0.09525547445255467
2017 W48,2017-12-03,0.15109489051094888
2017 W49,2017-12-10,0.20857664233576634
2017 W50,2017-12-17,0.27591240875912404
2017 W51,2017-12-24,0.21678832116788316
2017 W52,2017-12-31,0.36788321167883203
2018 W01,2018-01-03,0.25456204379562036
