time,t,data/E189_6.csv
2010 Jan,2010-01-31,0.4230341550708093
2010 Feb,2010-02-28,0.6228848230539015
2010 Mar,2010-03-31,0.18869149362870627
2010 Apr,2010-04-30,0.06644781092838846
2010 May,2010-05-31,0.07912869087655415
2010 Jun,2010-06-30,0.10905556755422545
2010 Jul,2010-07-31,0.009130233562679387
2010 Aug,2010-08-31,0.10702662676251905
2010 Sep,2010-09-30,0.2323137206503965
2010 Oct,2010-10-31,0.19782172719138563
2010 Nov,2010-11-30,0.07405633889728802
2010 Dec,2010-12-31,0.024347289500478132
2011 Jan,2011-01-31,0.749693622535559
2011 Feb,2011-02-28,0.13999691462775
2011 Mar,2011-03-31,0.1876770232328528
2011 Apr,2011-04-30,0.19782172719138566
2011 May,2011-05-31,0.1582573817531086
2011 Jun,2011-06-30,0.030434111875597802
2011 Jul,2011-07-31,0.10093980438739945
2011 Aug,2011-08-31,0.08622998364752706
2011 Sep,2011-09-30,0.03297028786523102
2011 Oct,2011-10-31,0.00913023356267931
2011 Nov,2011-11-30,0.09434574681435297
2011 Dec,2011-12-31,0.19427108080589928
2012 Jan,2012-01-31,0.37890469285119244
2012 Feb,2012-02-29,0.512307549905896
2012 Mar,2012-03-31,0.6147690598870756
2012 Apr,2012-04-30,0.18666255283699978
2012 May,2012-05-31,0.09941809879361972
2012 Jun,2012-06-30,0.0989108635956929
2012 Jul,2012-07-31,0.3555718737465677
2012 Aug,2012-08-31,0.3469488753818148
2012 Sep,2012-09-30,0.20187960877479844
2012 Oct,2012-10-31,0.04970904939680974
2012 Nov,2012-11-30,0.09028786523094018
2012 Dec,2012-12-31,0.02231834870877197
2013 Jan,2013-01-31,0.21303878312918495
2013 Feb,2013-02-28,0.1744889080867606
2013 Mar,2013-03-31,0.05630310696985599
2013 Apr,2013-04-30,0.21202431273333114
2013 May,2013-05-31,0.0770997500848479
2013 Jun,2013-06-30,0.0953602172102063
2013 Jul,2013-07-31,0.025868995094258343
2013 Aug,2013-08-31,0.07912869087655447
2013 Sep,2013-09-30,0.05630310696985599
2013 Oct,2013-10-31,0.05934651815741547
2013 Nov,2013-11-30,0.056810342167782496
2013 Dec,2013-12-31,1.1899737743358736
2014 Jan,2014-01-31,1.112874024251026
2014 Feb,2014-02-28,0.7172305698682546
2014 Mar,2014-03-31,0.1775323192743204
2014 Apr,2014-04-30,0.09840362839776609
2014 May,2014-05-31,0.03854987504242395
2014 Jun,2014-06-30,0.0740563388972881
2014 Jul,2014-07-31,0.30332664836012463
2014 Aug,2014-08-31,0.6756372836382709
2014 Sep,2014-09-30,0.24093671901514904
2014 Oct,2014-10-31,0.06594057573046196
2014 Nov,2014-11-30,0.04057881583413035
2014 Dec,2014-12-31,0.09637468760605968
2015 Jan,2015-01-31,0.6720866372527845
2015 Feb,2015-02-28,0.5336114282188148
2015 Mar,2015-03-31,0.4696997932800591
2015 Apr,2015-04-30,0.1278232698775108
2015 May,2015-05-31,0.04666563820925002
2015 Jun,2015-06-30,0.06086822375119545
2015 Jul,2015-07-31,0.29825429638085843
2015 Aug,2015-08-31,0.8130980222763875
2015 Sep,2015-09-30,0.2079664311499181
2015 Oct,2015-10-31,0.02586899509425803
2015 Nov,2015-11-30,0.08420104285582057
2015 Dec,2015-12-20,0.08927339483508662
