time,t,data/C4_8.csv
2016 Jan,2016-01-31,0.1976790782608182
2016 Feb,2016-02-29,0.15179929147071625
2016 Mar,2016-03-31,0.2564923361045096
2016 Apr,2016-04-30,0.07443996886496218
2016 May,2016-05-31,0.07438432830299246
2016 Jun,2016-06-30,0.019339238730566533
2016 Jul,2016-07-31,0.02452091404421053
2016 Aug,2016-08-31,0
2016 Sep,2016-09-30,0.012629223725372563
2016 Oct,2016-10-31,0
2016 Nov,2016-11-30,0.20761032665153334
2016 Dec,2016-12-31,0.2808794760316442
2017 Jan,2017-01-31,0.25594658506050927
2017 Feb,2017-02-28,0.1053192969163883
2017 Mar,2017-03-31,0.13014090676358392
2017 Apr,2017-04-30,0.10259172553813023
2017 May,2017-05-31,0.11824921644474573
2017 Jun,2017-06-30,0.06451227199947929
2017 Jul,2017-07-31,0.050056380463059824
2017 Aug,2017-08-31,0.17045900504020628
2017 Sep,2017-09-30,0.3065747610859382
2017 Oct,2017-10-31,0.17296874953756192
2017 Nov,2017-11-30,0.2973017287049069
2017 Dec,2017-12-17,0.5224483031108403
