time,t,data/C714_3.csv
2010 W01,2010-01-10,0.09703758768238235
2010 W02,2010-01-17,0.05542378099624834
2010 W03,2010-01-24,0.051411241628388504
2010 W04,2010-01-31,0.05336425252940713
2010 W05,2010-02-07,0.03549933035940023
2010 W06,2010-02-14,0.023586360471145484
2010 W07,2010-02-21,0.00867361796454369
2010 W08,2010-02-28,0.007656318552655472
2010 W09,2010-03-07,0.015522754105234515
2010 W10,2010-03-14,0.00955493750516867
2010 W11,2010-03-21,0.007547534655644839
2010 W12,2010-03-28,0.009480148575973901
2010 W13,2010-04-04,0.005485739857615801
2010 W14,2010-04-11,0.005431347909110595
2010 W15,2010-04-18,0.006394255372493607
2010 W16,2010-04-25,0.005336161999226263
2010 W17,2010-05-02,0.00530896602497366
2010 W18,2010-05-09,0.006271873488356672
2010 W19,2010-05-16,0.006217481539851244
2010 W20,2010-05-23,0.0052069811215262884
2010 W21,2010-05-30,0.00913339990425266
2010 W22,2010-06-06,0.008088904518111617
2010 W23,2010-06-13,0.0060815016685880074
2010 W24,2010-06-20,0.00802091458248011
2010 W25,2010-06-27,0.008956626071610296
2010 W26,2010-07-04,0.005959119784451072
2010 W27,2010-07-11,0.008888636135978789
2010 W28,2010-07-18,0.008861440161726186
2010 W29,2010-07-25,0.00682684133794953
2010 W30,2010-08-01,0.008779852238968155
2010 W31,2010-08-08,0.00872546029046295
2010 W32,2010-08-15,0.008698264316210125
2010 W33,2010-08-22,0.008643872367704919
2010 W34,2010-08-29,0.008616676393452316
2010 W35,2010-09-05,0.008562284444946888
2010 W36,2010-09-12,0.008535088470694285
2010 W37,2010-09-19,0.008507892496441682
2010 W38,2010-09-26,0.008453500547936255
2010 W39,2010-10-03,0.008426304573683652
2010 W40,2010-10-10,0.008371912625178446
2010 W41,2010-10-17,0.008344716650925843
2010 W42,2010-10-24,0.008290324702420415
2010 W43,2010-10-31,0.008263128728167812
2010 W44,2010-11-07,0.008208736779662384
2010 W45,2010-11-14,0.008181540805409782
2010 W46,2010-11-21,0.008154344831157179
2010 W47,2010-11-28,0.008099952882651973
2010 W48,2010-12-05,0.008072756908399148
2010 W49,2010-12-12,0.008018364959893942
2010 W50,2010-12-19,0.00799116898564134
2010 W51,2010-12-26,0.007936777037135911
2010 W52,2011-01-02,0.007909581062883309
2011 W01,2011-01-09,0.007855189114378103
2011 W02,2011-01-16,0.008818096577760892
2011 W03,2011-01-23,0.021635049318517785
2011 W04,2011-01-30,0.051290559492642496
2011 W05,2011-02-06,0.08491781507324792
2011 W06,2011-02-13,0.11260218369685226
2011 W07,2011-02-20,0.1284030447376423
2011 W08,2011-02-27,0.1283758487633897
2011 W09,2011-03-06,0.12438823903859464
2011 W10,2011-03-13,0.11247300281915229
2011 W11,2011-03-20,0.06290663999530599
2011 W12,2011-03-27,0.054958616519968695
2011 W13,2011-04-03,0.05490422457146349
2011 W14,2011-04-10,0.04498732587679366
2011 W15,2011-04-17,0.023152924631493876
2011 W16,2011-04-24,0.019165314906699038
2011 W17,2011-05-01,0.007229681706567126
2011 W18,2011-05-08,0.007202485732314523
2011 W19,2011-05-15,0.007148093783809095
2011 W20,2011-05-22,0.007127696803119532
2011 W21,2011-05-29,0.0070665058610510645
2011 W22,2011-06-05,0.007039309886798462
2011 W23,2011-06-12,0.007012113912545859
2011 W24,2011-06-19,0.006957721964040653
2011 W25,2011-06-26,0.006930525989787828
2011 W26,2011-07-03,0.006876134041282622
2011 W27,2011-07-10,0.006848938067030019
2011 W28,2011-07-17,0.0067945461185245914
2011 W29,2011-07-24,0.0067673501442719886
2011 W30,2011-07-31,0.006712958195766783
2011 W31,2011-08-07,0.006685762221513958
2011 W32,2011-08-14,0.006658566247261355
2011 W33,2011-08-21,0.006604174298756149
2011 W34,2011-08-28,0.006576978324503546
2011 W35,2011-09-04,0.006522586375998118
2011 W36,2011-09-11,0.0064953904017455155
2011 W37,2011-09-18,0.00644099845324031
2011 W38,2011-09-25,0.006413802478987485
2011 W39,2011-10-02,0.006359410530482279
2011 W40,2011-10-09,0.006332214556229676
2011 W41,2011-10-16,0.006277822607724248
2011 W42,2011-10-23,0.006250626633471645
2011 W43,2011-10-30,0.0062234306592190425
2011 W44,2011-11-06,0.006169038710713615
2011 W45,2011-11-13,0.006141842736461012
2011 W46,2011-11-20,0.006087450787955806
2011 W47,2011-11-27,0.006060254813703203
2011 W48,2011-12-04,0.006005862865197775
