time,t,data/C692_1.csv
2001 W09,2001-03-04,0.14320414457330477
2001 W10,2001-03-11,0.1759699601645358
2001 W11,2001-03-18,0.1475459023263258
2001 W12,2001-03-25,0.1569765897854304
2001 W13,2001-04-01,0.1775436178137817
2001 W14,2001-04-08,0.22332915509027934
2001 W15,2001-04-15,0.18763070538945748
2001 W16,2001-04-22,0.14535516589738928
2001 W17,2001-04-29,0.17310876443863432
2001 W18,2001-05-06,0.18506600030807363
2001 W19,2001-05-13,0.19580402516296824
2001 W20,2001-05-20,0.19824031197136655
2001 W21,2001-05-27,0.18794915830393943
2001 W22,2001-06-03,0.1881663407513639
2001 W23,2001-06-10,0.2733599381445661
2001 W24,2001-06-17,0.3256830941326797
2001 W25,2001-06-24,0.2938085196578601
2001 W26,2001-07-01,0.3301627871423375
2001 W27,2001-07-08,0.33101901063941697
2001 W28,2001-07-15,0.32313303056460546
2001 W29,2001-07-22,0.25533611324793914
2001 W30,2001-07-29,0.2410173232942856
2001 W31,2001-08-05,0.24462904909306354
2001 W32,2001-08-12,0.26050761776147163
2001 W33,2001-08-19,0.21811281094223645
2001 W34,2001-08-26,0.18014889208829393
2001 W35,2001-09-02,0.22431178365226434
2001 W36,2001-09-09,0.2542528446173864
2001 W37,2001-09-16,0.22552843240197978
2001 W38,2001-09-23,0.1954901477213955
2001 W39,2001-09-30,0.22078397202664152
2001 W40,2001-10-07,0.32019130651550154
2001 W41,2001-10-14,0.3003753908929423
2001 W42,2001-10-21,0.29137436807015277
2001 W43,2001-10-28,0.3210592737263813
2001 W44,2001-11-04,0.22857752754868677
2001 W45,2001-11-11,0.14011289406952743
2001 W46,2001-11-18,0.13781926033872116
2001 W47,2001-11-25,0.22629568837026875
2001 W48,2001-12-02,0.3451050615377547
2001 W49,2001-12-09,0.403341070663306
2001 W50,2001-12-16,0.381685662415475
2001 W51,2001-12-23,0.4068214803895892
2001 W52,2001-12-27,0.3208745771366123
