time,t,data/C603_1.csv
2006 Jan,2006-01-31,0.036129447170918726
2006 Feb,2006-02-28,0.029312866044780783
2006 Mar,2006-03-31,0.027099988761098422
2006 Apr,2006-04-30,0.026148490865270553
2006 May,2006-05-31,0.028476129821800977
2006 Jun,2006-06-30,0.02941620150101775
2006 Jul,2006-07-31,0.02152786623209581
2006 Aug,2006-08-31,0.015531038099876375
2006 Sep,2006-09-30,0.020885812759899605
2006 Oct,2006-10-31,0.021510570811323824
2006 Nov,2006-11-30,0.01835187752094807
2006 Dec,2006-12-16,0.023012712446459128
